samplenumber,sample.id,sam,plate,row,col,Num,Trial,con,Inoc,Substrate,Treatment,Type,T.T,Merge.ID,is.control,is.water,is.pythium,Shannon,Simpson,Block,Score
28,28-16s_S28,28,1,D,4,28,T1,38.1,Inoculated,Disc-refined ForestGold®,1_Disc-refined GF,16,1_Disc-refined GF_16s,28-16s_S28_L001_R1_001.fastq.gz,FALSE,FALSE,TRUE,5.79180693791619,0.995057534577879,3,2
29,29-16s_S29,29,1,E,4,29,T1,23.7,Inoculated,Disc-refined ForestGold®,1_Disc-refined GF,16,1_Disc-refined GF_16s,29-16s_S29_L001_R1_001.fastq.gz,FALSE,FALSE,TRUE,4.46301839738604,0.986466863008514,2,3
30,30-16s_S30,30,1,F,4,30,T1,16.7,Inoculated,Disc-refined ForestGold®,1_Disc-refined GF,16,1_Disc-refined GF_16s,30-16s_S30_L001_R1_001.fastq.gz,FALSE,FALSE,TRUE,6.09380934593452,0.996340449636052,1,3
31,31-16s_S31,31,1,G,4,31,T1,14.2,Water Control,Disc-refined ForestGold®,0_Disc-refined GF,16,0_Disc-refined GF_16s,31-16s_S31_L001_R1_001.fastq.gz,FALSE,TRUE,FALSE,3.45151466261057,0.951745268886617,1,3.5
32,32-16s_S32,32,1,H,4,32,T1,18.1,Water Control,Disc-refined ForestGold®,0_Disc-refined GF,16,0_Disc-refined GF_16s,32-16s_S32_L001_R1_001.fastq.gz,FALSE,TRUE,FALSE,4.94749843693222,0.991065377136941,3,2
36,36-16s_S36,36,1,D,5,33,T1,13.6,Water Control,Disc-refined ForestGold®,0_Disc-refined GF,16,0_Disc-refined GF_16s,36-16s_S36_L001_R1_001.fastq.gz,FALSE,TRUE,FALSE,5.63713650197185,0.994519413178212,2,1
37,37-16s_S37,37,1,E,5,34,T1,24.3,Water Control,Disc-refined ForestGold®,0_Disc-refined GF,16,0_Disc-refined GF_16s,37-16s_S37_L001_R1_001.fastq.gz,FALSE,TRUE,FALSE,5.68625650635535,0.994547599040812,3,1.5
38,38-16s_S38,38,1,F,5,35,T1,19.5,Water Control,Disc-refined ForestGold®,0_Disc-refined GF,16,0_Disc-refined GF_16s,38-16s_S38_L001_R1_001.fastq.gz,FALSE,TRUE,FALSE,5.11963341421353,0.992193678847137,2,2
39,39-16s_S39,39,1,G,5,36,T1,25.2,Water Control,Disc-refined ForestGold®,0_Disc-refined GF,16,0_Disc-refined GF_16s,39-16s_S39_L001_R1_001.fastq.gz,FALSE,TRUE,FALSE,5.20147027177413,0.992900830342543,1,1.5
40,40-16s_S40,40,1,H,5,37,T1,16.3,Water Control,Extruded Green-Fibre®,0_Extruded FG,16,0_Extruded FG_16s,40-16s_S40_L001_R1_001.fastq.gz,FALSE,TRUE,FALSE,5.78649067525423,0.992409089668936,1,1
