sample.id,sam,plate,row,col,Num,Trial,con,Inoc,Substrate,Treatment,Type,T.T,Merge.ID,is.control,is.water,is.pythium,Shannon,Simpson,Block,Score
23-ITS_S215,23,1,G,3,26,T1,14.2,Inoculated,Disc-refined ForestGold®,1_Disc-refined GF,ITS,1_Disc-refined GF_ITS,23-ITS_S215_L001_R1_001.fastq.gz,FALSE,FALSE,TRUE,1.44313554288493,0.606616556457736,3,2
24-ITS_S216,24,1,H,3,27,T1,25.5,Inoculated,Disc-refined ForestGold®,1_Disc-refined GF,ITS,1_Disc-refined GF_ITS,24-ITS_S216_L001_R1_001.fastq.gz,FALSE,FALSE,TRUE,2.0803026797998,0.745456695556641,2,1.5
26-ITS_S218,26,1,B,4,4,T1,29.4,Inoculated,Peatlite,1_Peatlite,ITS,1_Peatlite_ITS,26-ITS_S218_L001_R1_001.fastq.gz,FALSE,FALSE,TRUE,2.31721768063365,0.783828920626277,3,3.5
28-ITS_S220,28,1,D,4,28,T1,38.1,Inoculated,Disc-refined ForestGold®,1_Disc-refined GF,ITS,1_Disc-refined GF_ITS,28-ITS_S220_L001_R1_001.fastq.gz,FALSE,FALSE,TRUE,1.20009269489749,0.564383916547429,3,2
29-ITS_S221,29,1,E,4,29,T1,23.7,Inoculated,Disc-refined ForestGold®,1_Disc-refined GF,ITS,1_Disc-refined GF_ITS,29-ITS_S221_L001_R1_001.fastq.gz,FALSE,FALSE,TRUE,2.23375796774885,0.836364278539972,2,3
31-ITS_S223,31,1,G,4,31,T1,14.2,Water Control,Disc-refined ForestGold®,0_Disc-refined GF,ITS,0_Disc-refined GF_ITS,31-ITS_S223_L001_R1_001.fastq.gz,FALSE,TRUE,FALSE,2.37244092633517,0.856150277488727,1,3.5
34-ITS_S226,34,1,B,5,5,T1,22.2,Inoculated,Peatlite,1_Peatlite,ITS,1_Peatlite_ITS,34-ITS_S226_L001_R1_001.fastq.gz,FALSE,FALSE,TRUE,2.32485918192551,0.856451612903226,2,3
36-ITS_S228,36,1,D,5,33,T1,13.6,Water Control,Disc-refined ForestGold®,0_Disc-refined GF,ITS,0_Disc-refined GF_ITS,36-ITS_S228_L001_R1_001.fastq.gz,FALSE,TRUE,FALSE,1.50061531047436,0.55609276070623,2,1
37-ITS_S229,37,1,E,5,34,T1,24.3,Water Control,Disc-refined ForestGold®,0_Disc-refined GF,ITS,0_Disc-refined GF_ITS,37-ITS_S229_L001_R1_001.fastq.gz,FALSE,TRUE,FALSE,1.95386794426,0.697508144990814,3,1.5
38-ITS_S230,38,1,F,5,35,T1,19.5,Water Control,Disc-refined ForestGold®,0_Disc-refined GF,ITS,0_Disc-refined GF_ITS,38-ITS_S230_L001_R1_001.fastq.gz,FALSE,TRUE,FALSE,2.22784655715597,0.733538979531013,2,2
